"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000118407.13"	3619.87849208943	0.940112308606506	0.30485272574437	3.0838245133318	0.00204358099662629	0.0202475854007842
"ENSG00000119004.13"	4949.01971421358	0.747150535630223	0.190609057036796	3.91980605352865	8.86202565007446e-05	0.00149564729997502
"ENSG00000119737.5"	168.114259609693	1.58066056574942	0.168390912897663	9.38685193012789	6.18203360383062e-21	1.25224140333032e-18
"ENSG00000120068.6"	41.7214976294299	2.78363853374593	0.709041704403801	3.92591651020944	8.64001226068904e-05	0.00146394310369467
"ENSG00000120094.6"	8.2221763882945	2.36453682287273	0.608126420089713	3.88823235557486	0.000100976936798885	0.00167271120843604
"ENSG00000120159.10"	2471.28574677315	-0.600234363627678	0.152620017954047	-3.93286786146497	8.39383846414273e-05	0.00142942859744826
"ENSG00000120215.8"	53.6668361943505	1.41338456841688	0.2527477146563	5.59207655087554	2.24369850651221e-08	8.71269381934639e-07
"ENSG00000120329.6"	11.3746559538465	2.6714399119305	0.814000233219433	3.28186627338515	0.00103122498087866	0.0117344188198669
"ENSG00000120555.12"	30.1214270922203	-1.13613367326995	0.367746448327431	-3.08944839151342	0.00200528542129185	0.0199537708769626
"ENSG00000120992.16"	6275.47645272144	-0.719052332783022	0.259598432491646	-2.76986392360501	0.00560797163631366	0.045090278908689
"ENSG00000121905.8"	54.0786593548173	-1.47869870990981	0.478822777219486	-3.08819626020421	0.00201375431553769	0.0200265351655453
"ENSG00000122180.4"	3.25768733606539	3.16272686819296	1.03639878092713	3.05165050981987	0.00227586916956298	0.0221429483950737
"ENSG00000122483.16"	772.601341718315	0.676421795003205	0.195793491232703	3.45477161035588	0.000550759155037746	0.00698286808645587
"ENSG00000122718.5"	4.5581213371156	5.47224253059547	1.28875329801384	4.24615210609278	2.17473023472774e-05	0.000439744926272619
"ENSG00000123009.4"	17.1397653636779	1.25106482667301	0.44982479939658	2.7812268873376	0.0054153875032879	0.0439190335609661
"ENSG00000123200.15"	11848.9107680915	0.698581584727937	0.15076902715461	4.63345554396631	3.59612011855306e-06	8.91642152229356e-05
"ENSG00000123219.11"	1048.36124037469	-0.793829892039058	0.287451204528778	-2.76161616139474	0.00575160524858814	0.0458541148885156
"ENSG00000123636.16"	7025.17427442851	0.645278035706653	0.162296227699915	3.97592750522685	7.01054810603382e-05	0.00123327255102488
"ENSG00000123965.13"	87.2794270602003	-0.616577422358507	0.197637438288559	-3.11974000319857	0.00181010733052485	0.0185224513189719
"ENSG00000124171.7"	1688.31410449767	-0.710753799487622	0.139695970884279	-5.08786184016999	3.6212301753019e-07	1.12495220459289e-05
"ENSG00000124194.14"	13.6779206123714	1.68880268327147	0.464179101003541	3.63825661176975	0.000274489860155992	0.00392559032868838
"ENSG00000124208.16"	103.240623885109	-2.65388052473158	0.860311411459615	-3.08479056465028	0.00203695534027826	0.0202036315065771
"ENSG00000124253.10"	13.1980729379445	2.43699961261872	0.729801086377231	3.33926553153833	0.000840002290495974	0.00990670729935293
"ENSG00000124701.5"	96.2300418810797	0.826560148346852	0.226514582776151	3.6490372417377	0.000263224946460677	0.00379109592328688
"ENSG00000124835.2"	4.06896198915778	3.36923934957075	0.97010992841499	3.47304903380956	0.000514581333703599	0.00661448471324638
"ENSG00000125414.17"	243.134588177743	8.15453386708445	1.7699731626968	4.60715113593014	4.08223296033803e-06	9.98823948507792e-05
