"SYMBOL"	"ENSEMBL"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"165"	"C9orf135"	"ENSG00000204711"	1779.45531259815	-1.53572330889872	0.469975961974582	-3.26766352569703	0.00108439201397864	0.033028527598777
"166"	"SMIM11A"	"ENSG00000205670"	1049.60191583343	-1.53509827562788	0.409998577901219	-3.74415512240566	0.000181001806528179	0.0111595188690094
"167"	"HHLA2"	"ENSG00000114455"	4914.37812510338	-1.53422500636909	0.483749361826944	-3.17152874491635	0.00151638860012791	0.0393011419501669
"168"	"C20orf85"	"ENSG00000124237"	18934.8440476373	-1.53137094268945	0.491922608276877	-3.1130322471935	0.00185175783528901	0.0437887642111203
"169"	"DNAH2"	"ENSG00000183914"	9685.9245287575	-1.52822831508545	0.501947085587139	-3.04460043492004	0.00232989622188704	0.0497510214172211
"170"	"RIBC1"	"ENSG00000158423"	4194.14553527476	-1.52773354384685	0.439457522906224	-3.47640776233304	0.000508178997868474	0.0212470608071406
"171"	"UBXN10"	"ENSG00000162543"	12094.5131783336	-1.52722022716742	0.494599000616934	-3.08779481006322	0.00201647649773209	0.0455922404265096
"172"	"GPC5-AS1"	"ENSG00000235984"	207.718219562592	-1.52601865013284	0.487827105500818	-3.12819569254189	0.00175883034771729	0.0426615426888688
"173"	"SLC22A4"	"ENSG00000197208"	4441.00354200948	-1.5220015963322	0.478383866570977	-3.18154875757372	0.00146489862690329	0.0386176280214064
"174"	NA	"ENSG00000234692"	100.51391993283	-1.5200535999335	0.466799428729572	-3.25633132000704	0.00112861968569434	0.0338598002382318
"175"	"CFAP161"	"ENSG00000156206"	1262.65511395063	-1.51711541867415	0.460617673799357	-3.29365437969495	0.000988940175009264	0.0311377102797349
"176"	"AGR3"	"ENSG00000173467"	10975.1433292652	-1.51710560280556	0.329892198074313	-4.598792004362	4.24947780654242e-06	0.00060060896307389
"177"	"TMPRSS7"	"ENSG00000176040"	62.6175496330346	-1.51310804633002	0.471066773565489	-3.2120882457435	0.00131773891972002	0.0368138439093417
"178"	"RSPH4A"	"ENSG00000111834"	9066.02674142246	-1.51287787803582	0.491618919243772	-3.07733860275962	0.00208857906930656	0.0464717144109379
"179"	"TUBA4B"	"ENSG00000243910"	6336.11828556514	-1.51141889158074	0.467163068206258	-3.23531330801483	0.00121509318201085	0.0354109805903159
"180"	NA	"ENSG00000233730"	745.646478529286	-1.50781094851737	0.454501927463659	-3.31750176931413	0.000908263403974385	0.0297698066829148
"181"	"ANKRD44-AS1"	"ENSG00000231621"	1189.8350540598	-1.50775281300564	0.454795142397273	-3.31523508597324	0.000915660843812794	0.0299069576186277
"182"	"TSPAN1"	"ENSG00000117472"	30199.6507064853	-1.50630202819789	0.47318794933134	-3.18330597879012	0.00145603658828175	0.0384852881422044
"183"	"CCDC181"	"ENSG00000117477"	2083.49124905712	-1.50480322627072	0.430825316590805	-3.49283843897219	0.000477915560452305	0.0206105193658838
"184"	NA	"ENSG00000257568"	82.7930309249052	-1.5031065738608	0.409167874278612	-3.67356937909867	0.000239185694540199	0.0133964100163628
"185"	NA	"ENSG00000254973"	53.1487497116619	-1.50236605808292	0.481956951340755	-3.11722043618936	0.00182565007379332	0.0434661748258004
"186"	"VSIG8"	"ENSG00000243284"	240.361954919603	-1.50215440104794	0.49067018836552	-3.06143400733554	0.00220279543839783	0.0481706618095263
